system_key,system,system_type,source_threshold,inference_seconds,reviews_per_second,inference_batch_size,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,balanced_accuracy,mcc,fpr,fnr,tn,fp,fn,tp,threshold,ensemble_rank,members,weights,selection_data,accuracy_ci_low,accuracy_ci_high,f1_ci_low,f1_ci_high,roc_auc_ci_low,roc_auc_ci_high,accuracy_wilson_ci_low,accuracy_wilson_ci_high
model::electra_base,ELECTRA,model,0.9739435122241902,40.81914670000003,98.72817846042815,16.0,0.49032258064516127,0.0,0.0,0.0,0.4730135163364688,0.45424980680049476,0.9949647532729103,0.49748237663645517,-0.05059851803566751,0.005035246727089627,1.0,1976,10,2044,0,0.9739435122241902,,,,,0.4759305210918114,0.5054590570719603,0.0,0.0,0.4539638890693218,0.4899754243870878,0.47490494145671575,0.5057586515981277
model::electra_sentiment_profile,ELECTRA + Sentiment Profile,model,0.9544776935320545,42.2243704,95.44251250694789,8.0,0.49181141439205955,0.0,0.0,0.0,0.3827660797795922,0.4209509123068945,0.9979859013091642,0.4989929506545821,-0.03197745776766473,0.002014098690835851,1.0,1982,4,2044,0,0.9544776935320545,,,,,0.47741315136476425,0.5066997518610422,0.0,0.0,0.3652172203905849,0.3997927531524958,0.47639153717835536,0.5072468877142046
model::distilbert,DistilBERT,model,0.2987274209627846,20.519661400000018,196.39700292520405,16.0,0.49007444168734493,0.0,0.0,0.0,0.2695067773829724,0.36852067115974335,0.9944612286002014,0.4972306143001007,-0.053074775170882646,0.0055387713997985906,1.0,1975,11,2044,0,0.2987274209627846,,,,,0.4759305210918114,0.5047208436724566,0.0,0.0,0.25475632407524895,0.28536457843182905,0.4746571887980583,0.5055105989504992
model::distilbert_sentiment_profile,DistilBERT + Sentiment Profile,model,0.8807628123443481,22.104216899999983,182.31815305793543,8.0,0.49156327543424316,0.0,0.0,0.0,0.2721895735904758,0.3689744635373904,0.9974823766364552,0.4987411883182276,-0.03575632561015294,0.0025176233635448137,1.0,1981,5,2044,0,0.8807628123443481,,,,,0.47766129032258065,0.5064516129032258,0.0,0.0,0.25676602158323797,0.28815749344177316,0.4761437617288684,0.5069988578574054
ensemble::triple_rank_01__distilbert_sentiment_profile__modernbert_sentiment_profile__roberta_sentiment_profile::equal_soft,E1 Equal Soft,ensemble,0.6650657591173545,0.0,,,0.49205955334987594,0.0,0.0,0.0,0.35500435534061325,0.3995867983038067,0.9984894259818731,0.49924471299093653,-0.027689852109955542,0.0015105740181268882,1.0,1983,3,2044,0,0.6650657591173545,1.0,distilbert_sentiment_profile | modernbert_sentiment_profile | roberta_sentiment_profile,"{""distilbert_sentiment_profile"": 0.3333333333333333, ""modernbert_sentiment_profile"": 0.3333333333333333, ""roberta_sentiment_profile"": 0.3333333333333333}",FRD_validation_only,0.47815756823821337,0.5069478908188586,0.0,0.0,0.3388514103701115,0.37214241315126334,0.47663931642596874,0.5074949137728773
ensemble::triple_rank_01__distilbert_sentiment_profile__modernbert_sentiment_profile__roberta_sentiment_profile::weighted_soft,E1 Weighted Soft,ensemble,0.549767505326483,0.0,,,0.49181141439205955,0.0,0.0,0.0,0.43567472306142996,0.43122129872523307,0.9979859013091642,0.4989929506545821,-0.03197745776766473,0.002014098690835851,1.0,1982,4,2044,0,0.549767505326483,1.0,distilbert_sentiment_profile | modernbert_sentiment_profile | roberta_sentiment_profile,"{""distilbert_sentiment_profile"": 0.1, ""modernbert_sentiment_profile"": 0.45, ""roberta_sentiment_profile"": 0.45}",FRD_validation_only,0.47766129032258065,0.5066997518610422,0.0,0.0,0.418117007273694,0.4542367493288857,0.47639153717835536,0.5072468877142046
ensemble::triple_rank_02__electra_base__modernbert_sentiment_profile__roberta_sentiment_profile::equal_soft,E2 Equal Soft,ensemble,0.6574524007452155,0.0,,,0.49081885856079405,0.0,0.0,0.0,0.44179412442873106,0.43479241439509186,0.9959718026183283,0.49798590130916415,-0.04524543667118954,0.004028197381671702,1.0,1978,8,2044,0,0.6574524007452155,2.0,electra_base | modernbert_sentiment_profile | roberta_sentiment_profile,"{""electra_base"": 0.3333333333333333, ""modernbert_sentiment_profile"": 0.3333333333333333, ""roberta_sentiment_profile"": 0.3333333333333333}",FRD_validation_only,0.47666873449131514,0.5057071960297767,0.0,0.0,0.4238800262943044,0.4597915783551555,0.4754004581701193,0.5062547454972963
ensemble::triple_rank_02__electra_base__modernbert_sentiment_profile__roberta_sentiment_profile::weighted_soft,E2 Weighted Soft,ensemble,0.5441121394952305,0.0,,,0.49081885856079405,0.0,0.0,0.0,0.4348268111614964,0.4314131598615488,0.9959718026183283,0.49798590130916415,-0.04524543667118954,0.004028197381671702,1.0,1978,8,2044,0,0.5441121394952305,2.0,electra_base | modernbert_sentiment_profile | roberta_sentiment_profile,"{""electra_base"": 0.15, ""modernbert_sentiment_profile"": 0.45, ""roberta_sentiment_profile"": 0.4}",FRD_validation_only,0.47666873449131514,0.5057071960297767,0.0,0.0,0.4170877750632202,0.4524531863891185,0.4754004581701193,0.5062547454972963
ensemble::triple_rank_03__distilbert_sentiment_profile__electra_base__modernbert_sentiment_profile::equal_soft,E3 Equal Soft,ensemble,0.6291983049992996,0.0,,,0.49181141439205955,0.0,0.0,0.0,0.47041349130804083,0.4530295864944813,0.9979859013091642,0.4989929506545821,-0.03197745776766473,0.002014098690835851,1.0,1982,4,2044,0,0.6291983049992996,3.0,distilbert_sentiment_profile | electra_base | modernbert_sentiment_profile,"{""distilbert_sentiment_profile"": 0.3333333333333333, ""electra_base"": 0.3333333333333333, ""modernbert_sentiment_profile"": 0.3333333333333333}",FRD_validation_only,0.47766129032258065,0.5066997518610422,0.0,0.0,0.45119775108482735,0.48743644057840596,0.47639153717835536,0.5072468877142046
ensemble::triple_rank_03__distilbert_sentiment_profile__electra_base__modernbert_sentiment_profile::weighted_soft,E3 Weighted Soft,ensemble,0.45176655029050194,0.0,,,0.49156327543424316,0.0,0.0,0.0,0.4718252818654259,0.45368360527518603,0.9974823766364552,0.4987411883182276,-0.03575632561015294,0.0025176233635448137,1.0,1981,5,2044,0,0.45176655029050194,3.0,distilbert_sentiment_profile | electra_base | modernbert_sentiment_profile,"{""distilbert_sentiment_profile"": 0.15, ""electra_base"": 0.4, ""modernbert_sentiment_profile"": 0.45}",FRD_validation_only,0.47741315136476425,0.5064516129032258,0.0,0.0,0.452662704009119,0.4888838357069294,0.4761437617288684,0.5069988578574054
